Transcript	Length
TIMD4__chr5	1378
SCAND2P__chr15	4514
MIR4746__chr19	72
DNAJC11__chr1	3309
MRM1__chr17	1838
LTB4R2__chr14	1562
RPS23__chr5	3318
GJB5__chr1	1357
CRADD__chr12	1191
ERCC-00040	744
DNAH14__chr1	14542
LIN52__chr14	1804
KDM4A__chr1	4531
IL18R1__chr2	3531
PRRX2__chr9	1313
G3BP2__chr4	4564
TOB2__chr22	4567
NAMPT__chr7	4592
IRGC__chr19	1608
TSPYL5__chr8	4464
DUSP28__chr2	1558
BATF__chr14	943
RNF13__chr3	2975
ARFGAP1__chr20	3294
MEFV__chr16	3684
BCL2L12__chr19	1862
FBXO22__chr15	4307
AVL9__chr7	2369
PRKX__chrX	6093
NCOR2__chr12	8930
FBXW7__chr4	5046
MIR711__chr3	77
TCEB1__chr8	2337
MAPK4__chr18	4742
KRTAP3-1__chr17	594
RPUSD2__chr15	1842
SIAE__chr11	3291
NHLRC1__chr6	2135
MIR214__chr1	111
LRRC20__chr10	3242
ST3GAL6-AS1__chr3	774
IFITM1__chr11	719
MAPT-IT1__chr17	3017
SUSD5__chr3	5010
LRRIQ4__chr3	1829
KCNE3__chr11	3073
MIR3656__chr11	70
TMEM240__chr1	1121
SNTG1__chr8	1908
PIK3IP1__chr22	2479
PPIE__chr1	4749
SNORD104__chr17	81
PCYT1B__chrX	5851
ALG5__chr13	1223
TNFAIP8L1__chr19	3963
TMEM26__chr10	5161
LOC100288842__chr9	585
C12orf66__chr12	2603
SFTPA1__chr10	2285
LINC00251__chr8	1058
GRB7__chr17	2719
ZNF639__chr3	3020
KRT79__chr12	2075
PITX3__chr10	1392
CMBL__chr5	4053
ZBTB38__chr3	8392
NELL1__chr11	3267
RIPK3__chr14	1931
PRSS33__chr16	1700
EEFSEC__chr3	2223
IQSEC3__chr12	7410
PNO1__chr2	1988
STX16-NPEPL1__chr20	4071
MIR5702__chr2	85
C20orf111__chr20	2246
SRPX2__chrX	2201
CIR1__chr2	1803
ALOX12P2__chr17	2782
GDEP__chr4	2093
TFCP2__chr12	3730
MIR4777__chr2	87
CPOX__chr3	2716
ADRA1A__chr8	3565
MIR3610__chr8	74
HSPA1L__chr6	2539
RPGRIP1L__chr16	6209
MARCH10__chr17	3334
UGT2B4__chr4	2109
RBCK1__chr20	2774
SLC24A4__chr14	9892
ATF7__chr12	7365
TMEM51__chr1	2243
GLIS3__chr9	7779
PON3__chr7	1200
IQCG__chr3	2358
RBM43__chr2	3918
TREML4__chr6	2076
MIR210__chr11	111
PKDCC__chr2	2508
CGB8__chr19	890
PDZD4__chrX	3753
MDFI__chr6	1622
IQGAP2__chr5	5805
LOC284688__chr1	1729
GFRA1__chr10	9606
ACYP1__chr14	690
CIAO1__chr2	4043
MIR516A1__chr19	91
CREB5__chr7	8835
CADM2__chr3	9894
MSMP__chr9	680
LOC100506083__chr16	1476
HSD17B12__chr11	2556
MARK2P9__chr10	947
DPY19L2P3__chr7	1679
CDC42BPG__chr11	4976
AUNIP__chr1	2064
NKD1__chr16	8726
UNC80__chr2	13626
TICRR__chr15	6691
FAM47A__chrX	2580
DUSP21__chrX	887
CUL1__chr7	3231
HBP1__chr7	2894
CCL4__chr17	670
PTPRD__chr9	10218
MIR645__chr20	95
EPHB4__chr7	4368
C21orf58__chr21	2976
C1orf174__chr1	1670
C1QTNF7__chr4	4844
ZNF287__chr17	4284
IGFALS__chr16	2273
DSCR4__chr21	1101
SNHG16__chr17	2542
METTL21A__chr2	4941
KCND1__chrX	4726
RPL4__chr15	1451
DLL3__chr19	2391
UNC13D__chr17	4423
FAM98C__chr19	1283
MIR4450__chr4	66
HIVEP3__chr1	14127
GPR18__chr13	1664
ST3GAL4__chr11	2638
LOC116437__chr12	2478
LRPPRC__chr2	6657
CETN2__chrX	1085
GUCY1A2__chr11	16228
LINC00638__chr14	2519
FASTKD2__chr2	6955
EPB41L1__chr20	6783
ATR__chr3	8298
CACNA1C-IT3__chr12	433
USP44__chr12	3548
PIR__chrX	1570
DKK2__chr4	3641
MTIF3__chr13	1239
LOC339874__chr3	1982
HIST1H2AL__chr6	471
KCNF1__chr2	2290
VSTM4__chr10	8052
EBF1__chr5	5290
CELA2B__chr1	931
MYOF__chr10	6897
EME1__chr17	2363
MAPK6__chr15	4231
FAM160B1__chr10	6164
OR9A4__chr7	946
KRTAP15-1__chr21	454
SNX4__chr3	2544
SAGE1__chrX	3066
CDRT15P1__chr17	1102
KCNIP4__chr4	3179
SUN2__chr22	4340
SPCS3__chr4	4601
CNN1__chr19	1593
CDC42EP2__chr11	2025
TMEM257__chrX	2444
AGAP4__chr10	2438
VAV3__chr1	4894
TSPYL6__chr2	3096
TMEM184A__chr7	6285
TDP1__chr14	3764
PTH2R__chr2	3122
TPX2__chr20	3680
LOC442028__chr2	3340
HPCA__chr1	1410
C1orf168__chr1	3480
UCK1__chr9	2228
DPP4__chr2	3926
COL25A1__chr4	6391
VWA5A__chr11	4075
SNRPD2P2__chr1	763
MIR1250__chr17	114
FNDC4__chr2	1678
ZG16__chr16	1811
TMEM222__chr1	1863
DCUN1D2__chr13	3036
ZNF555__chr19	8551
TBC1D10B__chr16	3297
PRKAG2-AS1__chr7	794
PLEKHA8__chr7	8820
SMPD4__chr2	4933
PPP1R15A__chr19	2386
YJEFN3__chr19	1039
POM121L10P__chr22	9553
SPACA4__chr19	973
FAM120B__chr6	3250
CEP57__chr11	3234
PRDM13__chr6	3208
SNAI1__chr20	1709
HIST3H2A__chr1	497
ZSCAN23__chr6	3165
MIR3200__chr22	86
NGFR__chr17	3426
TRIM28__chr19	2976
APIP__chr11	1265
MIR5089__chr17	85
FCRLA__chr1	2369
CLEC2D__chr12	5447
ZNF20__chr19	3062
RPL22__chr1	2089
ADARB2__chr10	8436
WSCD2__chr12	4644
GNPTG__chr16	1256
SEC22B__chr1	1889
YIPF7__chr4	943
SNAR-A11__chr19	1220
SETD5-AS1__chr3	1863
UMOD__chr16	2326
OMA1__chr1	1918
BCAS3__chr17	3634
HSP90AB4P__chr15	2829
CDR1__chrX	1300
HAND1__chr5	1740
EBP__chrX	1162
DSN1__chr20	2528
RBMXL2__chr11	2216
NT5C2__chr10	3553
ANAPC7__chr12	3655
IFT46__chr11	1888
HIST1H4D__chr6	368
MIR3921__chr3	86
MFSD2B__chr2	1521
TRIM24__chr7	4023
LRRC32__chr11	4450
LOC387723__chr10	2679
DPYS__chr8	2133
CILP2__chr19	4207
XAF1__chr17	3631
PECAM1__chr17	4455
MIR374B__chrX	73
ANKHD1__chr5	8495
RGS4__chr1	3984
NUPR1L__chr7	602
JRKL__chr11	3571
LOC727849__chr15	9911
KIAA1045__chr9	5855
PIRT__chr17	3468
MIR4291__chr9	66
MYO10__chr5	11471
EIF3L__chr22	2104
LOC201617__chr3	2703
OR10Z1__chr1	943
DIAPH3-AS1__chr13	540
PAQR9__chr3	2106
PEX7__chr6	1492
LRRC16B__chr14	4640
CASP14__chr19	3151
DNAI1__chr9	2541
WFDC13__chr20	1376
DDX49__chr19	1849
PRKCQ__chr10	3294
ATP9A__chr20	7608
HMGN1__chr21	1310
ZFP3__chr17	4997
SPATA21__chr1	2028
FAM83C__chr20	3170
CCDC101__chr16	1161
NUDT16P1__chr3	2366
ADAM1A__chr12	2841
HOXD11__chr2	1465
TM4SF20__chr2	2298
FOPNL__chr16	2255
HSD3B1__chr1	1684
C8orf82__chr8	1935
PAGE4__chrX	498
BMP8B__chr1	3780
OR8H1__chr11	937
PARVB__chr22	2189
NRG1-IT3__chr8	508
DOPEY1__chr6	8062
SNAR-A5__chr19	1220
NCKAP5__chr2	7614
PWRN1__chr15	1447
TRA2A__chr7	1847
RTCA__chr1	2635
STEAP1B__chr7	1698
WDYHV1__chr8	1354
SEPW1__chr19	886
MIR1182__chr1	98
REEP5__chr5	3121
FAR2__chr12	4098
AIRE__chr21	2313
C19orf21__chr19	2856
CNDP1__chr18	2210
IPO11__chr5	4664
ERCC-00079	644
SLC6A11__chr3	2005
RFPL3__chr22	1504
PCDH9__chr13	6232
SRBD1__chr2	3715
DENND6B__chr22	2026
ZNF70__chr22	4019
SLC2A9__chr4	2093
VWCE__chr11	3556
CNOT3__chr19	2905
BMP1__chr8	4250
H1F0__chr22	2331
FAM224A__chrY	925
C8orf31__chr8	1881
ZAR1__chr4	1440
MIR5689__chr6	79
SNORD116-27__chr15	95
CDX1__chr5	1775
RPS4Y2__chrY	895
PSKH1__chr16	3484
GPR119__chrX	1194
MUSTN1__chr3	732
TSPAN4__chr11	1782
RAB3GAP2__chr1	7364
BLVRB__chr19	861
SELT__chr3	3496
PSMD7__chr16	1677
SOD2__chr6	1781
HRG__chr3	1959
VWF__chr12	8885
LAT2__chr7	2205
YWHAQ__chr2	2172
PDXDC1__chr16	4034
MMP14__chr14	3548
MBTPS1__chr16	4369
THPO__chr3	1811
SERPINB12__chr18	1225
MYO6__chr6	8697
MIR4669__chr9	63
CRIM1__chr2	5628
CENPH__chr5	1398
RHPN1__chr8	3730
MAGED4B__chrX	5394
ZNF552__chr19	2355
TMEM241__chr18	3007
NDEL1__chr17	2443
USP54__chr10	6185
TRIM6__chr11	3520
TXK__chr4	2929
PCBP1__chr2	1751
BTF3L4__chr1	4649
WNK1__chr12	11976
OR4F5__chr1	919
FMNL1__chr17	3988
RGP1__chr9	1726
OR6T1__chr11	973
SNORD24__chr9	76
MRGBP__chr20	1641
FLJ35390__chr7	1761
NXPH4__chr12	1806
IFI16__chr1	2914
TSTD3__chr6	1930
NSUN4__chr1	5806
ZNF781__chr19	3146
SLX4IP__chr20	1415
LOC286135__chr8	2843
FGFRL1__chr4	3245
OR4N3P__chr15	935
MIR4719__chr16	85
AGTRAP__chr1	1286
KRTAP21-3__chr21	254
SELRC1__chr1	2117
RBMS2__chr12	8500
C10orf35__chr10	1080
LOC100505633__chr1	1141
TSHB__chr1	581
TNNI3K__chr1	3048
SLC22A31__chr16	1868
CCDC90B__chr11	1587
PABPC4L__chr4	4945
CTSF__chr11	2027
ARRB2__chr17	2041
EIF3F__chr11	1265
C4orf45__chr4	822
QPCT__chr2	1710
ZNF853__chr7	3581
MIR521-2__chr19	88
TACSTD2__chr1	2073
AMOT__chrX	7399
RAD51D__chr17	2594
HCG27__chr6	1722
ZNF626__chr19	6839
KHDC3L__chr6	1025
CD9__chr12	1322
KIAA1462__chr10	9304
GHRL__chr3	1356
SIGLEC12__chr19	2227
DNAJC2__chr7	2229
ANKFN1__chr17	2443
NTMT1__chr9	1006
RAB27A__chr15	3708
MIR4265__chr2	100
MIR208B__chr14	78
BHLHE40-AS1__chr3	993
MIR4690__chr11	61
ADAMTS12__chr5	4978
LOC339666__chr22	1560
GPX6__chr6	1717
RBBP4__chr1	8031
GCSH__chr16	1543
VGLL4__chr3	4619
MRPS15__chr1	973
ZNF804A__chr2	4689
LOC644172__chr17	2259
SNORD115-27__chr15	77
LINC00159__chr21	131
PGLYRP1__chr19	955
TFF1__chr21	495
SLC3A2__chr11	2916
DEFB123__chr20	380
MARCKS__chr6	4293
C1orf54__chr1	533
PPM1J__chr1	1724
DENND5B__chr12	9412
MIR527__chr19	86
RNY5__chr12	48
DNLZ__chr9	753
NPLOC4__chr17	4398
KRTCAP2__chr1	552
BTF3P11__chr13	641
GNAS-AS1__chr20	1162
CRIP1__chr14	484
ACE__chr17	5245
TTI2__chr8	2770
GTSE1__chr22	3124
RNF4__chr4	3684
ADPRHL2__chr1	1697
PAPD4__chr5	3538
MIR4694__chr11	81
LIMK1__chr7	3543
TAP2__chr6	6178
RNF152__chr18	1807
VDAC2__chr10	2121
TCL6__chr14	3315
CNTNAP1__chr17	5478
CADPS__chr3	5582
ZDHHC8__chr22	5023
RPL37A__chr2	422
PRH2__chr12	4326
UTRN__chr6	12505
DAZ3__chrY	10605
ARPC1A__chr7	1617
MIR1322__chr8	72
MALL__chr2	3065
RANBP10__chr16	5319
MIR3935__chr16	105
ZNF663__chr20	1152
CYP2A6__chr19	1773
TMEM218__chr11	4261
PIANP__chr12	3041
OR4D11__chr11	937
FARSB__chr2	2250
SKA1__chr18	2925
HSFX2__chrX	3936
CARNS1__chr11	3979
ARC__chr8	2951
CCDC53__chr12	920
MTDH__chr8	7679
SLC13A1__chr7	3812
MIR136__chr14	83
YPEL2__chr17	5237
NEUROG3__chr10	1257
SLC11A2__chr12	6825
CARM1__chr19	2984
TARS__chr5	3187
ACADM__chr1	2627
WWC2__chr4	8831
OLIG1__chr21	2280
NFKBIA__chr14	1573
SUPT20H__chr13	3054
LACTB__chr15	2155
C10orf54__chr10	4780
CCR5__chr3	3664
MIR4772__chr2	79
FAM20C__chr7	2790
PAXBP1-AS1__chr21	3948
KIAA1257__chr3	1720
MAN2A1__chr5	5150
MIR2278__chr9	97
ANKRD44__chr2	6477
TRIM68__chr11	3359
SEPT5__chr22	2470
PKN1__chr19	3159
SIGLEC9__chr19	2028
FRMD6__chr14	5297
KIF21A__chr12	6679
GPR179__chr17	7991
ASMT__chrX	1429
RLN2__chr9	892
BIN3__chr8	1856
BACE2__chr21	3002
FAM208A__chr3	8794
ZNF326__chr1	3931
CKAP4__chr12	3038
WDR5B__chr3	4184
TAS2R60__chr7	958
OR5AP2__chr11	952
DHPS__chr19	1541
CENPVP2__chrX	2606
ZFP36__chr19	1754
FAM138D__chr12	1131
HIST2H4B__chr1	794
NANS__chr9	1246
DAZAP2__chr12	2828
ORC4__chr2	7055
MIR3193__chr20	56
SH3RF2__chr5	3053
PMS2CL__chr7	1744
LYPD4__chr19	1797
EPB41__chr1	6315
ZNF449__chrX	4064
TMPRSS11BNL__chr4	3206
SNORA6__chr3	150
DUX4L6__chr10	4805
ATCAY__chr19	5049
CAT__chr11	2313
FEZF1__chr7	2109
FAM120AOS__chr9	2768
CLNS1A__chr11	1380
SLC41A1__chr1	4865
PIEZO1__chr16	7884
ZNF560__chr19	2812
MIR377__chr14	70
EFR3A__chr8	5437
RNF181__chr2	721
HTRA2__chr2	2558
DLX6-AS1__chr7	1993
KIAA2018__chr3	13714
FLJ35282__chr9	2353
PRPF19__chr11	2356
LOC100289673__chr5	1269
KIAA1199__chr15	7109
DEPDC4__chr12	1159
RHOD__chr11	1138
RBMX__chrX	3429
OR10A6__chr11	946
ZNF521__chr18	4979
VWC2L__chr2	912
LRRC27__chr10	9433
TMEM88__chr17	876
C11orf49__chr11	2281
TMEM108__chr3	3797
CCDC28B__chr1	883
SLPI__chr20	602
PRM1__chr16	411
FRAS1__chr4	16619
TMEM25__chr11	3020
CLMP__chr11	2637
FAM63B__chr15	5002
GPR125__chr4	4586
JRK__chr8	9119
BRICD5__chr16	1037
RUSC1__chr1	4147
LOC392364__chr9	1015
ZNF468__chr19	4036
MIR345__chr14	99
GREB1__chr2	10366
C18orf21__chr18	1131
PLSCR4__chr3	3669
CTSS__chr1	4115
TTC7A__chr2	5178
FUT3__chr19	2593
FRG2C__chr3	2073
NEK9__chr14	5565
IRGQ__chr19	9690
HLA-G__chr6	1586
PSMD9__chr12	2358
TMEM56__chr1	7193
SNORA34__chr12	138
SYN2__chr3	5685
LOC440117__chr12	1485
C3orf80__chr3	2579
LARP7__chr4	2664
GPR52__chr1	1473
LTN1__chr21	7786
ELAVL4__chr1	2473
SCARNA27__chr6	127
OR51E1__chr11	3106
TREX2__chrX	1257
ZNF208__chr19	9092
BTN3A2__chr6	4120
CYP26C1__chr10	1575
NFE2L2__chr2	3348
CSTF2T__chr10	4111
ERGIC2__chr12	1791
GALNT11__chr7	2734
MIR4311__chr15	101
GNRH1__chr8	2153
EAF1__chr3	4494
KCNA10__chr1	1960
DIO2-AS1__chr14	1604
ZNF277__chr7	2699
PGAM2__chr7	860
EIF3I__chr1	1469
MEAF6__chr1	4975
ANKRD7__chr7	1364
MIR647__chr20	97
MIR4276__chr4	71
CMTM7__chr3	1356
LOC100130855__chr15	1725
PPP2R1A__chr19	2524
IDI2-AS1__chr10	1310
MIR567__chr3	99
MIR3607__chr5	80
HPS1__chr10	4171
LINC00229__chr22	831
KRTAP1-3__chr17	972
SLC25A31__chr4	1818
ZNF26__chr12	3286
C12orf44__chr12	1441
C12orf29__chr12	2881
MFSD6__chr2	4805
LOC100133669__chr8	704
NRF1__chr7	3636
FAM160A2__chr11	3504
FAM136A__chr2	1810
BUD31__chr7	1049
MIR3141__chr5	62
CBLN4__chr20	3110
RBM27__chr5	6561
PSG3__chr19	1915
TRAF2__chr9	2288
LBR__chr1	3988
ADD3__chr10	4644
MIR17__chr13	85
HOXC9__chr12	1543
OTX1__chr2	2958
OR12D2__chr6	1034
DHX37__chr12	4578
DLX5__chr7	1427
H1FX-AS1__chr3	2198
NR1H3__chr11	2328
HAS2-AS1__chr8	2291
PRKAA1__chr5	5140
BTBD17__chr17	1681
MIR3117__chr1	79
IDH3G__chrX	1735
MIR941-1__chr20	118
SETDB1__chr1	4681
KRT14__chr17	1644
TUBGCP6__chr22	6044
AVPR2__chrX	2197
ALKBH7__chr19	1335
SHOX__chrY	4391
LINC00381__chr13	732
C21orf54__chr21	599
LTK__chr15	3147
SLC26A11__chr17	3071
LOC201651__chr3	1292
TREH__chr11	1868
ULBP1__chr6	3147
SOX3__chrX	2075
NCMAP__chr1	3994
LIN7A__chr12	1236
TGFBR2__chr3	4711
RHBDF2__chr17	3624
YTHDC1__chr4	6266
MMP16__chr8	6345
MIR4788__chr3	81
GOSR1__chr17	5246
DPP10__chr2	6249
TIMM44__chr19	2013
FAM194A__chr3	2067
MIR5193__chr3	110
C4orf51__chr4	851
AACSP1__chr5	2180
MIR22HG__chr17	2740
XGPY2__chrX	366
LRRC39__chr1	1957
PAK3__chrX	3301
LEAP2__chr5	710
DPH5__chr1	1815
C16orf55__chr16	2823
SIRT3__chr11	2909
PTGES3__chr12	1924
MIR4436B1__chr2	184
FAM200A__chr7	2490
ZGPAT__chr20	2134
EVA1C__chr21	1941
PMEPA1__chr20	5524
GRIN3B__chr19	3263
AHSG__chr3	1580
AIFM1__chrX	3270
BSCL2__chr11	2611
C6orf147__chr6	1449
OXER1__chr2	1764
TMEM53__chr1	1603
MIRLET7G__chr3	85
RAB42__chr1	1336
JUND__chr19	1871
MROH7__chr1	4415
ATXN1__chr6	10645
AP3S1__chr5	1295
LOC285626__chr5	1585
HIATL1__chr9	3310
ARL13B__chr3	4002
OR10G7__chr11	937
NRG1__chr8	7806
MIR4443__chr3	54
JMJD1C__chr10	9327
RPLP0__chr12	1272
CROT__chr7	4118
RAB34__chr17	1927
ONECUT2__chr18	16124
ZNF200__chr16	3663
TTTY10__chrY	1634
C19orf12__chr19	5187
TMEM132D__chr12	5786
ACPL2__chr3	3189
LBH__chr2	2941
TINAG__chr6	1815
SNX5__chr20	2220
LOC100289341__chr9	1873
USP6NL__chr10	4853
STK3__chr8	3352
UBE2J1__chr6	4350
PABPC1L2A__chrX	2176
SPNS2__chr17	4362
MAPKBP1__chr15	7282
GCLM__chr1	3081
PROSER2__chr10	3337
MIR4763__chr22	93
TCEA3__chr1	1597
GRB2__chr17	3310
L3MBTL1__chr20	3587
MS4A13__chr11	932
MIDN__chr19	3801
OR6N2__chr1	955
SDHAP3__chr5	1159
SDF2L1__chr22	877
PCDHB11__chr5	3272
GPN3__chr12	1773
COTL1__chr16	1829
KIAA1239__chr4	7484
PRR20E__chr13	9250
MIR4745__chr19	63
LINC00705__chr10	1014
ZNF75A__chr16	2130
B4GALT1__chr9	4205
TPRG1-AS2__chr3	482
MIR526A2__chr19	66
TTC38__chr22	2624
PFDN1__chr5	1328
POLR2J4__chr7	6482
ZNF878__chr19	1766
GBP6__chr1	4878
MIR4435-2__chr2	150
MIR1469__chr15	48
PUS1__chr12	2088
P2RX6P__chr22	126
MTMR11__chr1	3020
COX8C__chr14	533
AGAP9__chr10	4790
F7__chr13	3206
BPTF__chr17	11322
TAS2R14__chr12	955
SRSF8__chr11	4334
TMEM234__chr1	1087
METTL21EP__chr13	2316
KRT6C__chr12	2298
MIR203__chr14	111
LOC100287177__chr19	927
HMG20A__chr15	3896
RSAD1__chr17	2508
GABARAPL1__chr12	1871
ZC3H3__chr8	3289
PIP5K1P1__chr6	4244
GPR61__chr1	2826
C6orf57__chr6	528
VPS16__chr20	2750
RUFY4__chr2	3744
MIR421__chrX	86
MYH7B__chr20	6563
MTF1__chr1	7983
KIAA0247__chr14	5399
PNMT__chr17	1052
SNORD114-8__chr14	72
MIR4752__chr19	73
TRIM34__chr11	2510
IFNGR2__chr21	2228
SPANXN1__chrX	615
BCCIP__chr10	3382
HTR2C__chrX	4849
TRAF3__chr14	7788
MIR411__chr14	97
ARIH1__chr15	5265
MIRLET7BHG__chr22	4723
RDH14__chr2	1602
HSFY1__chrY	4600
KLRG2__chr7	1549
STON1-GTF2A1L__chr2	4145
C6orf164__chr6	1560
ZNF767__chr7	3800
SORL1__chr11	11021
MON1B__chr16	3318
RTFDC1__chr20	1658
CSF2RA__chrX	2314
PPP2R5A__chr1	3429
TGFB2__chr1	5962
PRR21__chr2	1171
PEX14__chr1	1935
ZNF527__chr19	5131
KIAA1033__chr12	5839
OR8K5__chr11	925
OR4Q3__chr14	943
BCL9L__chr11	7746
RASSF9__chr12	1798
ZNF133__chr20	2721
PADI6__chr1	2363
AGMAT__chr1	3161
SMG1__chr16	16128
METRN__chr16	1096
PKD1L1__chr7	9132
OR5K4__chr3	967
LOC253039__chr9	3802
CD97__chr19	3512
CCDC28A__chr6	1502
SHE__chr1	6189
KLKB1__chr4	2262
CARD8__chr19	5780
KIF2C__chr1	2901
MIR4653__chr7	84
DPY30__chr2	805
WFDC2__chr20	570
PLN__chr6	1716
LOC285758__chr6	2753
COMMD3__chr10	950
RRH__chr4	1563
FAM131A__chr3	2813
TATDN1__chr8	1161
IGFL1__chr19	773
LRIF1__chr1	3339
IDUA__chr4	2200
HIST1H4H__chr6	375
ZNF700__chr19	2905
IPO13__chr1	4047
GRM4__chr6	5520
LOC96610__chr22	2022
ST20__chr15	1521
EHD4__chr15	2899
DCAF7__chr17	6388
STAT2__chr12	4574
ADAM11__chr17	4429
MIR431__chr14	115
DKFZP586I1420__chr7	2746
SMAD2__chr18	10787
POLD2__chr7	2323
ACTR5__chr20	2488
PLEKHA7__chr11	4831
MIR7-1__chr9	111
DYRK3__chr1	2265
ACE2__chrX	3526
UGDH__chr4	3208
DPEP3__chr16	1748
BMPER__chr7	5047
ZNF469__chr16	13205
OR4N5__chr14	928
SNORA70__chrX	136
PODXL__chr7	5993
EGFR__chr7	6601
ERCC-00043	1023
PRAF2__chrX	1266
CYLD__chr16	8825
CWC27__chr5	2094
SNORD116-21__chr15	95
LIMS3-LOC440895__chr2	6470
KIAA0947__chr5	7967
GNAI1__chr7	3645
FBLN1__chr22	4877
C10orf62__chr10	1243
ACBD3__chr1	3573
ABHD12__chr20	2425
BPIFA2__chr20	1061
DLK2__chr6	1617
UBXN8__chr8	1447
TRIM54__chr2	2070
MIR4770__chrX	59
LOC100507003__chr19	1560
ACBD4__chr17	2768
LGALS9__chr17	1775
LINC00493__chr20	494
FAM35A__chr10	3413
OR2A9P__chr7	1972
NRBP1__chr2	2217
MIR610__chr11	97
DDI1__chr11	2616
MRS2P2__chr12	2691
MRPS23__chr17	1497
ARHGAP4__chrX	3395
TNK1__chr17	2935
C2orf83__chr2	2091
AKR1C1__chr10	1388
LINC00312__chr3	2888
OSBPL7__chr17	3679
SNORA44__chr1	133
VN1R2__chr19	1312
CAPN13__chr2	2704
MIR1286__chr22	79
ZNF816-ZNF321P__chr19	2684
HLA-DMA__chr6	1127
SGPL1__chr10	5784
PRRG1__chrX	6098
OPN1MW__chrX	4008
SMEK2__chr2	4475
MBNL3__chrX	11855
DAB2__chr5	4616
SYP__chrX	2440
NBEAP1__chr15	551
GUCY2D__chr17	3643
SLC6A20__chr3	5443
IL36RN__chr2	2807
UBE2T__chr1	915
IP6K3__chr6	2830
USP38__chr4	5205
SNORA25__chr11	133
TCEA1__chr8	2787
RNU6ATAC__chr9	126
ORC3__chr6	2592
D21S2088E__chr21	1704
OR5K2__chr3	952
IFT172__chr2	5408
FAM170B__chr10	1413
TELO2__chr16	3349
CLCA2__chr1	4038
ZNF865__chr19	4950
LOC283587__chr14	835
TTN__chr2	117218
ASB14__chr3	3218
EFS__chr14	3124
CYP2R1__chr11	1623
SNORD114-5__chr14	70
SEPT12__chr16	1534
TMPRSS11D__chr4	2793
SAYSD1__chr6	1922
CLC__chr19	637
CORT__chr1	1233
SNX27__chr1	7097
RBM12B-AS1__chr8	710
C3__chr19	5142
AGR2__chr7	991
TBC1D7__chr6	1307
ZNF41__chrX	4380
POLR3H__chr22	4479
TFE3__chrX	3403
OR52L1__chr11	1095
PPL__chr16	6260
SLC7A1__chr13	7356
RAVER2__chr1	4373
MIR302D__chr4	69
EIF2C2__chr8	3519
ZNF354C__chr5	2378
SNORD53__chr2	77
C11orf91__chr11	905
SMAP1__chr6	3342
UTP11L__chr1	2058
KLHL26__chr19	3125
ZNF766__chr19	2979
C12orf61__chr12	1685
ARSA__chr22	4323
PHKA2-AS1__chrX	1299
VASH2__chr1	4477
TEKT1__chr17	1421
ZC3H12D__chr6	4913
LOC390705__chr16	872
LOC100506368__chr11	1212
DUSP7__chr3	3236
C1orf122__chr1	1321
NBL1__chr1	2871
LINC00674__chr17	11199
AMY2B__chr1	2191
SLC22A7__chr6	2569
ERCC-00171	505
SLC22A6__chr11	2232
PEG10__chr7	6630
PCK1__chr20	2695
CASP2__chr7	4368
NEUROD2__chr17	3034
CBR3__chr21	1115
CHRM2__chr7	2979
