A1BG-AS1__chr19	NR_015380__chr19__1
ABCD2__chr12	NM_005164__chr12__1
ABCD3__chr1	NM_002858__chr1__1|NM_001122674__chr1__1
ABCD4__chr14	NM_005050__chr14__1|NR_003256__chr14__1
ABCE1__chr4	NM_001040876__chr4__1|NM_002940__chr4__1
ABCF1__chr6	NM_001025091__chr6__1|NM_001090__chr6__1
ABCF1__chr6_GL000251v2_alt	NM_001025091__chr6_GL000251v2_alt__1|NM_001090__chr6_GL000251v2_alt__1
ABCF1__chr6_GL000252v2_alt	NM_001025091__chr6_GL000252v2_alt__1|NM_001090__chr6_GL000252v2_alt__1
ABCF1__chr6_GL000253v2_alt	NM_001025091__chr6_GL000253v2_alt__1|NM_001090__chr6_GL000253v2_alt__1
ABCF1__chr6_GL000254v2_alt	NM_001025091__chr6_GL000254v2_alt__1|NM_001090__chr6_GL000254v2_alt__1
ABCF1__chr6_GL000255v2_alt	NM_001025091__chr6_GL000255v2_alt__1|NM_001090__chr6_GL000255v2_alt__1
ABCF1__chr6_GL000256v2_alt	NM_001025091__chr6_GL000256v2_alt__1|NM_001090__chr6_GL000256v2_alt__1
ABCF2__chr7	NM_005692__chr7__1|NM_007189__chr7__1
ABCF3__chr3	NM_018358__chr3__1
ABCG1__chr21	NM_207627__chr21__1|NM_207628__chr21__1|NM_207629__chr21__1|NM_004915__chr21__1|NM_016818__chr21__1|NM_207174__chr21__1
ABCG2__chr4	NM_001257386__chr4__1|NM_004827__chr4__1
ABCG4__chr11	NM_022169__chr11__1|NM_001142505__chr11__1
ABCG5__chr2	NM_022436__chr2__1
ABCG8__chr2	NM_022437__chr2__1
ABHD10__chr3	NM_001272069__chr3__1|NM_018394__chr3__1|NR_073570__chr3__1|NR_073571__chr3__1
ABHD11-AS1__chr7	NR_026690__chr7__1
ABHD11__chr7	NM_001301058__chr7__1|NR_026910__chr7__1|NM_001145364__chr7__1|NM_001321382__chr7__1|NM_001321383__chr7__1|NM_148912__chr7__1|NM_148913__chr7__1|NR_026912__chr7__1|NR_135627__chr7__1
ABHD12B__chr14	NM_001206673__chr14__1|NM_181533__chr14__1|NM_181814__chr14__1
ABHD12__chr20	NM_015600__chr20__1|NM_001042472__chr20__1
ABHD13__chr13	NM_032859__chr13__1
ABHD14A-ACY1__chr3	NM_001316331__chr3__1
ABHD14A__chr3	NM_015407__chr3__1
ABHD14B__chr3	NM_001146314__chr3__1|NM_001254753__chr3__1|NM_032750__chr3__1
ABHD15__chr17	NM_198147__chr17__1
ABHD16A__chr6	NM_001177515__chr6__1|NR_033488__chr6__1|NM_021160__chr6__1|NR_033489__chr6__1
ABHD16A__chr6_GL000251v2_alt	NM_001177515__chr6_GL000251v2_alt__1|NR_033488__chr6_GL000251v2_alt__1|NM_021160__chr6_GL000251v2_alt__1|NR_033489__chr6_GL000251v2_alt__1
ABHD16A__chr6_GL000252v2_alt	NM_001177515__chr6_GL000252v2_alt__1|NR_033488__chr6_GL000252v2_alt__1|NM_021160__chr6_GL000252v2_alt__1|NR_033489__chr6_GL000252v2_alt__1
ABHD16A__chr6_GL000253v2_alt	NM_001177515__chr6_GL000253v2_alt__1|NR_033488__chr6_GL000253v2_alt__1|NM_021160__chr6_GL000253v2_alt__1|NR_033489__chr6_GL000253v2_alt__1
ABHD16A__chr6_GL000254v2_alt	NM_001177515__chr6_GL000254v2_alt__1|NR_033488__chr6_GL000254v2_alt__1|NM_021160__chr6_GL000254v2_alt__1|NR_033489__chr6_GL000254v2_alt__1
ABHD16A__chr6_GL000255v2_alt	NM_001177515__chr6_GL000255v2_alt__1|NR_033488__chr6_GL000255v2_alt__1|NM_021160__chr6_GL000255v2_alt__1|NR_033489__chr6_GL000255v2_alt__1
ABHD16A__chr6_GL000256v2_alt	NM_001177515__chr6_GL000256v2_alt__1|NR_033488__chr6_GL000256v2_alt__1|NM_021160__chr6_GL000256v2_alt__1|NR_033489__chr6_GL000256v2_alt__1
ABHD16B__chr20	NM_080622__chr20__1
ABHD17A__chr19	NM_001130111__chr19__1|NM_031213__chr19__1
ABHD17B__chr9	NM_016014__chr9__1|NM_001025780__chr9__1
ABHD17C__chr15	NM_021214__chr15__1
ABHD18__chr4	NM_001319305__chr4__1|NM_001319306__chr4__1|NM_001319307__chr4__1
ABHD1__chr2	NM_032604__chr2__1
ABHD2__chr15	NM_007011__chr15__1|NM_152924__chr15__1
ABHD3__chr18	NM_001308257__chr18__1|NM_001308256__chr18__1|NM_138340__chr18__1
ABHD4__chr14	NM_022060__chr14__1
ABHD5__chr3	NM_016006__chr3__1
ABHD6__chr3	NM_001320126__chr3__1|NM_020676__chr3__1
ABHD8__chr19	NM_024527__chr19__1
ABI1__chr10	NM_001012750__chr10__1|NM_001012751__chr10__1|NM_001012752__chr10__1|NM_001178116__chr10__1|NM_001178119__chr10__1|NM_001178120__chr10__1|NM_001178121__chr10__1|NM_001178122__chr10__1|NM_001178123__chr10__1|NM_001178124__chr10__1|NM_001178125__chr10__1|NM_005470__chr10__1
ABI2__chr2	NM_001282925__chr2__1|NM_001282926__chr2__1|NM_001282932__chr2__1|NM_005759__chr2__1|NM_001282927__chr2__1
ABI3BP__chr3	NM_015429__chr3__1
ABI3__chr17	NM_001135186__chr17__1|NM_016428__chr17__1
ABL1__chr9	NM_007313__chr9__1|NM_005157__chr9__1
ABL2__chr1	NM_001168236__chr1__1|NM_001168237__chr1__1|NM_001168238__chr1__1|NM_007314__chr1__1|NM_001136001__chr1__1|NM_001136000__chr1__1|NM_001168239__chr1__1|NM_005158__chr1__1
ABLIM1__chr10	NM_002313__chr10__1|NM_001003407__chr10__1|NM_001003408__chr10__1|NM_001322882__chr10__1|NM_001322883__chr10__1|NM_001322887__chr10__1|NM_001322884__chr10__1|NM_001322885__chr10__1|NM_001322886__chr10__1|NM_006720__chr10__1|NM_001322888__chr10__1|NM_001322889__chr10__1|NM_001322890__chr10__1|NM_001322891__chr10__1|NM_001322892__chr10__1|NM_001322893__chr10__1|NM_001322894__chr10__1|NM_001322895__chr10__1|NM_001322896__chr10__1|NM_001322897__chr10__1|NM_001322898__chr10__1|NM_001322899__chr10__1|NM_001322900__chr10__1
ABLIM2__chr4	NM_001286688__chr4__1|NM_001130083__chr4__1|NM_001130084__chr4__1|NM_001130085__chr4__1|NM_001130086__chr4__1|NM_001130087__chr4__1|NM_032432__chr4__1|NM_001130088__chr4__1
ABLIM3__chr5	NM_001301015__chr5__1|NM_001301027__chr5__1|NM_001301028__chr5__1|NM_014945__chr5__1|NM_001301018__chr5__1
ABO__chr9	NM_020469__chr9__1
ABRACL__chr6	NM_021243__chr6__1
ABRA__chr8	NM_139166__chr8__1
ABR__chr17	NM_001282149__chr17__1|NM_001092__chr17__1|NM_021962__chr17__1|NM_001159746__chr17__1|NM_001322840__chr17__1|NM_001322841__chr17__1|NM_001256847__chr17__1|NM_001322842__chr17__1
ABR__chr17_KI270862v1_alt	NM_001092__chr17_KI270862v1_alt__1|NM_021962__chr17_KI270862v1_alt__1|NM_001159746__chr17_KI270862v1_alt__1|NM_001322841__chr17_KI270862v1_alt__1|NM_001322840__chr17_KI270862v1_alt__1|NM_001256847__chr17_KI270862v1_alt__1|NM_001282149__chr17_KI270862v1_alt__1
ABR__chr17_KI270910v1_alt	NM_001159746__chr17_KI270910v1_alt__1|NM_021962__chr17_KI270910v1_alt__1|NM_001092__chr17_KI270910v1_alt__1|NM_001322840__chr17_KI270910v1_alt__1|NM_001322841__chr17_KI270910v1_alt__1|NM_001256847__chr17_KI270910v1_alt__1|NM_001282149__chr17_KI270910v1_alt__1
ABT1__chr6	NM_013375__chr6__1
ABTB1__chr3	NM_032548__chr3__1|NM_172027__chr3__1|NR_033429__chr3__1
ABTB2__chr11	NM_145804__chr11__1
ACAA1__chr3	NM_001130410__chr3__1|NM_001607__chr3__1|NR_024024__chr3__1
ACAA2__chr18	NM_006111__chr18__1
ACACA__chr17	NM_198837__chr17__1|NM_198838__chr17__1|NM_198836__chr17__1|NM_198834__chr17__1|NM_198839__chr17__1
ACACA__chr17_KI270857v1_alt	NM_198837__chr17_KI270857v1_alt__1|NM_198838__chr17_KI270857v1_alt__1|NM_198836__chr17_KI270857v1_alt__1|NM_198834__chr17_KI270857v1_alt__1|NM_198839__chr17_KI270857v1_alt__1
ACACB__chr12	NM_001093__chr12__1
ACAD10__chr12	NM_001136538__chr12__1|NM_025247__chr12__1
ACAD11__chr3	NM_032169__chr3__1|NR_132426__chr3__1|NR_132427__chr3__1|NR_132428__chr3__1
ACAD8__chr11	NM_014384__chr11__1
ACAD9__chr3	NM_014049__chr3__1|NR_033426__chr3__1
ACADL__chr2	NM_001608__chr2__1
ACADM__chr1	NM_000016__chr1__1|NM_001127328__chr1__1|NM_001286042__chr1__1|NM_001286043__chr1__1|NM_001286044__chr1__1
ACADSB__chr10	NM_001609__chr10__1
ACADS__chr12	NM_000017__chr12__1|NM_001302554__chr12__1
ACADVL__chr17	NM_001270447__chr17__1|NM_000018__chr17__1|NM_001033859__chr17__1|NM_001270448__chr17__1
ACAN__chr15	NM_001135__chr15__1|NM_013227__chr15__1
ACAP1__chr17	NM_014716__chr17__1
ACAP2__chr3	NM_012287__chr3__1
ACAP3__chr1	NM_030649__chr1__1
ACAT1__chr11	NM_000019__chr11__1
ACAT2__chr6	NM_005891__chr6__1|NM_001303253__chr6__1
ACBD3__chr1	NM_022735__chr1__1
ACBD4__chr17	NM_001135704__chr17__1|NM_001321352__chr17__1|NM_001321353__chr17__1|NM_001135705__chr17__1|NM_001135706__chr17__1|NM_001135707__chr17__1|NM_024722__chr17__1
ACBD5__chr10	NM_001271512__chr10__1|NM_001301252__chr10__1|NM_001301254__chr10__1|NM_145698__chr10__1|NM_001042473__chr10__1|NM_001301251__chr10__1|NM_001301253__chr10__1
ACBD6__chr1	NM_032360__chr1__1
ACBD7__chr10	NM_001039844__chr10__1
ACCSL__chr11	NM_001031854__chr11__1
ACCS__chr11	NM_001127219__chr11__1|NM_032592__chr11__1
ACD__chr16	NM_001082486__chr16__1|NM_001082487__chr16__1|NM_022914__chr16__1
ACE2__chrX	NM_021804__chrX__1
ACER1__chr19	NM_133492__chr19__1
ACER2__chr9	NM_001010887__chr9__1
ACER3__chr11	NM_001300953__chr11__1|NM_001300954__chr11__1|NM_001300955__chr11__1|NM_018367__chr11__1
ACE__chr17	NM_000789__chr17__1|NM_001178057__chr17__1|NM_152830__chr17__1
ACHE__chr7	NM_015831__chr7__1|NM_000665__chr7__1|NM_001282449__chr7__1|NM_001302622__chr7__1|NM_001302621__chr7__1
ACIN1__chr14	NM_001164816__chr14__1|NM_001164817__chr14__1|NM_001164814__chr14__1|NM_001164815__chr14__1|NM_014977__chr14__1
ACKR1__chr1	NM_002036__chr1__1|NM_001122951__chr1__1
ACKR2__chr3	NM_001296__chr3__1
ACKR3__chr2	NM_020311__chr2__1
ACKR4__chr3	NM_016557__chr3__1|NM_178445__chr3__1
ACLY__chr17	NM_001303274__chr17__1|NM_001303275__chr17__1|NM_001096__chr17__1|NM_198830__chr17__1
ACMSD__chr2	NM_001307983__chr2__1|NM_138326__chr2__1
ACO1__chr9	NM_001278352__chr9__1|NM_002197__chr9__1
ACO2__chr22	NM_001098__chr22__1
ACOD1__chr13	NM_001258406__chr13__1
ACOT11__chr1	NM_147161__chr1__1|NM_015547__chr1__1
ACOT12__chr5	NM_130767__chr5__1
ACOT13__chr6	NM_001160094__chr6__1|NM_018473__chr6__1
ACOT1__chr14	NM_001037161__chr14__1
ACOT2__chr14	NR_046028__chr14__1|NM_006821__chr14__1
ACOT4__chr14	NM_152331__chr14__1
ACOT6__chr14	NM_001037162__chr14__1
ACOT7__chr1	NM_181866__chr1__1|NM_181865__chr1__1|NM_181864__chr1__1|NM_007274__chr1__1
ACOT8__chr20	NM_005469__chr20__1
ACOT9__chrX	NM_001033583__chrX__1|NM_001037171__chrX__1
ACOX1__chr17	NM_001185039__chr17__1|NM_004035__chr17__1|NM_007292__chr17__1
ACOX2__chr3	NM_003500__chr3__1
ACOX3__chr4	NM_001101667__chr4__1|NM_003501__chr4__1
ACOXL__chr2	NM_001142807__chr2__1
ACP1__chr2	NM_001040649__chr2__1|NM_004300__chr2__1|NM_007099__chr2__1|NR_024080__chr2__1
ACP2__chr11	NM_001302489__chr11__1|NM_001302490__chr11__1|NM_001302491__chr11__1|NM_001302492__chr11__1|NM_001610__chr11__1
ACP5__chr19	NM_001611__chr19__1|NM_001322023__chr19__1|NM_001111034__chr19__1|NM_001111035__chr19__1|NM_001111036__chr19__1
ACP6__chr1	NM_016361__chr1__1|NM_001323625__chr1__1|NR_136633__chr1__1|NR_136634__chr1__1|NR_136635__chr1__1|NR_136636__chr1__1
ACP7__chr19	NM_001004318__chr19__1
ACPP__chr3	NM_001099__chr3__1|NM_001292037__chr3__1|NM_001134194__chr3__1
ACPT__chr19	NM_033068__chr19__1
ACRBP__chr12	NM_032489__chr12__1
ACRC__chrX	NM_052957__chrX__1
ACRV1__chr11	NM_001612__chr11__1|NM_020069__chr11__1|NM_020107__chr11__1|NM_020108__chr11__1
ACR__chr22	NM_001097__chr22__1
ACSBG1__chr15	NM_001199377__chr15__1|NM_015162__chr15__1
ACSBG2__chr19	NM_001289177__chr19__1|NM_001289178__chr19__1|NM_001289179__chr19__1|NM_001289180__chr19__1|NM_030924__chr19__1|NM_001321384__chr19__1
ACSF2__chr17	NM_001288968__chr17__1|NM_001288969__chr17__1|NM_001288970__chr17__1|NM_001288971__chr17__1|NM_001288972__chr17__1|NM_025149__chr17__1|NR_110232__chr17__1
ACSF3__chr16	NM_001127214__chr16__1|NM_001243279__chr16__1|NM_001284316__chr16__1|NM_174917__chr16__1|NR_104293__chr16__1|NR_045667__chr16__1
ACSL1__chr4	NM_001286708__chr4__1|NM_001286711__chr4__1|NM_001995__chr4__1|NM_001286710__chr4__1|NM_001286712__chr4__1
ACSL3__chr2	NM_004457__chr2__1|NM_203372__chr2__1
ACSL4__chrX	NM_001318509__chrX__1|NM_001318510__chrX__1|NM_004458__chrX__1|NM_022977__chrX__1
ACSL5__chr10	NM_203379__chr10__1|NM_203380__chr10__1|NM_016234__chr10__1
ACSL6__chr5	NM_001009185__chr5__1|NM_001205247__chr5__1|NM_015256__chr5__1|NM_001205248__chr5__1|NM_001205251__chr5__1|NM_001205250__chr5__1
ACSM1__chr16	NM_052956__chr16__1|NR_134918__chr16__1|NM_001318890__chr16__1
ACSM2A__chr16	NM_001308169__chr16__1|NM_001308172__chr16__1|NM_001308954__chr16__1
ACSM2B__chr16	NM_001105069__chr16__1|NM_182617__chr16__1
ACSM3__chr16	NM_202000__chr16__1|NM_005622__chr16__1
ACSM4__chr12	NM_001080454__chr12__1
ACSM5__chr16	NM_017888__chr16__1|NM_001324373__chr16__1|NM_001324371__chr16__1|NM_001324372__chr16__1
ACSM6__chr10	NM_207321__chr10__1
ACSS1__chr20	NM_001252675__chr20__1|NM_001252677__chr20__1|NM_032501__chr20__1|NM_001252676__chr20__1
ACSS2__chr20	NM_001242393__chr20__1|NM_001076552__chr20__1|NM_018677__chr20__1
ACSS3__chr12	NM_024560__chr12__1
ACTA1__chr1	NM_001100__chr1__1
ACTA2-AS1__chr10	NR_125373__chr10__1
ACTA2__chr10	NM_001613__chr10__1|NM_001141945__chr10__1|NM_001320855__chr10__1
ACTBL2__chr5	NM_001017992__chr5__1
ACTB__chr7	NM_001101__chr7__1
ACTC1__chr15	NM_005159__chr15__1
ACTG1P17__chr15	NR_036446__chr15__1
ACTG1P20__chr1	NR_033926__chr1__1
ACTG1P4__chr1	NR_024438__chr1__1
ACTG1__chr17	NM_001199954__chr17__1|NM_001614__chr17__1|NR_037688__chr17__1
ACTG2__chr2	NM_001199893__chr2__1|NM_001615__chr2__1
ACTL10__chr20	NM_001024675__chr20__1
ACTL6A__chr3	NM_004301__chr3__1|NM_177989__chr3__1|NM_178042__chr3__1
ACTL6B__chr7	NM_016188__chr7__1|NR_134539__chr7__1
ACTL7A__chr9	NM_006687__chr9__1
ACTL7B__chr9	NM_006686__chr9__1
ACTL8__chr1	NM_030812__chr1__1
ACTL9__chr19	NM_178525__chr19__1
ACTN1-AS1__chr14	NR_073422__chr14__1
ACTN1__chr14	NM_001102__chr14__1|NM_001130004__chr14__1|NM_001130005__chr14__1
ACTN2__chr1	NM_001103__chr1__1|NM_001278343__chr1__1|NM_001278344__chr1__1
ACTN3__chr11	NM_001258371__chr11__1|NM_001104__chr11__1|NR_047663__chr11__1
ACTN4__chr19	NM_001322033__chr19__1|NM_004924__chr19__1
ACTR10__chr14	NM_018477__chr14__1
ACTR1A__chr10	NM_005736__chr10__1
ACTR1B__chr2	NM_005735__chr2__1
ACTR2__chr2	NM_001005386__chr2__1|NM_005722__chr2__1
ACTR3BP2__chr2	NR_027714__chr2__1
ACTR3BP5__chr10	NR_045000__chr10__1
ACTR3B__chr7	NM_001040135__chr7__1|NM_020445__chr7__1|NR_073000__chr7__1|NR_073001__chr7__1
ACTR3C__chr7	NM_001164459__chr7__1|NM_001164458__chr7__1
ACTR3__chr2	NM_005721__chr2__1|NR_102318__chr2__1|NM_001277140__chr2__1
ACTR5__chr20	NM_024855__chr20__1
ACTR6__chr12	NM_022496__chr12__1|NR_048568__chr12__1|NR_048569__chr12__1
ACTR8__chr3	NM_022899__chr3__1
ACTRT1__chrX	NM_138289__chrX__1
ACTRT2__chr1	NM_080431__chr1__1
ACTRT3__chr3	NM_032487__chr3__1
ACVR1B__chr12	NM_004302__chr12__1|NM_020328__chr12__1|NM_020327__chr12__1
ACVR1C__chr2	NM_001111031__chr2__1|NM_001111032__chr2__1|NM_001111033__chr2__1|NM_145259__chr2__1
ACVR1__chr2	NM_001105__chr2__1|NM_001111067__chr2__1
ACVR2A__chr2	NM_001278579__chr2__1|NM_001278580__chr2__1|NM_001616__chr2__1
ACVR2B-AS1__chr3	NR_028389__chr3__1
ACVR2B__chr3	NM_001106__chr3__1
ACVRL1__chr12	NM_000020__chr12__1|NM_001077401__chr12__1
ACY1__chr3	NM_000666__chr3__1|NM_001198895__chr3__1|NM_001198896__chr3__1|NM_001198897__chr3__1|NM_001198898__chr3__1
ACY3__chr11	NM_080658__chr11__1
ACYP1__chr14	NM_001107__chr14__1|NM_001302616__chr14__1|NR_126393__chr14__1|NR_126395__chr14__1|NM_001302617__chr14__1|NR_126394__chr14__1
ACYP2__chr2	NM_001320586__chr2__1|NM_001320587__chr2__1|NM_001320589__chr2__1|NM_138448__chr2__1|NM_001320588__chr2__1|NM_001320590__chr2__1
ADAD1__chr4	NM_139243__chr4__1|NM_001159285__chr4__1|NM_001159295__chr4__1
ADAD2__chr16	NM_001145400__chr16__1|NM_139174__chr16__1
ADAL__chr15	NM_001012969__chr15__1|NM_001159280__chr15__1|NM_001324364__chr15__1|NM_001324365__chr15__1|NM_001324367__chr15__1|NM_001324368__chr15__1|NM_001324366__chr15__1
ADAM10__chr15	NM_001110__chr15__1|NM_001320570__chr15__1
ADAM11__chr17	NM_001318933__chr17__1|NM_002390__chr17__1
ADAM12__chr10	NM_001288973__chr10__1|NM_003474__chr10__1|NM_001288974__chr10__1|NM_001288975__chr10__1|NM_021641__chr10__1
ADAM15__chr1	NM_001261466__chr1__1|NM_001261464__chr1__1|NM_001261465__chr1__1|NM_003815__chr1__1|NM_207191__chr1__1|NM_207194__chr1__1|NM_207195__chr1__1|NM_207196__chr1__1|NM_207197__chr1__1|NR_048577__chr1__1|NR_048578__chr1__1|NR_048579__chr1__1
ADAM17__chr2	NM_003183__chr2__1
ADAM18__chr8	NM_001320313__chr8__1|NM_014237__chr8__1|NR_135201__chr8__1|NM_001190956__chr8__1
ADAM18__chr8_KI270822v1_alt	NM_001320313__chr8_KI270822v1_alt__1|NM_014237__chr8_KI270822v1_alt__1|NR_135201__chr8_KI270822v1_alt__1|NM_001190956__chr8_KI270822v1_alt__1
ADAM19__chr5	NM_033274__chr5__1
ADAM1A__chr12	NR_036636__chr12__1
ADAM20P1__chr14	NR_037933__chr14__1
ADAM20__chr14	NM_003814__chr14__1
ADAM21P1__chr14	NR_003951__chr14__1
ADAM21__chr14	NM_003813__chr14__1
ADAM22__chr7	NM_004194__chr7__1|NM_001324417__chr7__1|NM_001324418__chr7__1|NM_001324419__chr7__1|NM_001324420__chr7__1|NM_001324421__chr7__1|NM_016351__chr7__1|NM_021722__chr7__1|NM_021723__chr7__1|NM_021721__chr7__1
ADAM23__chr2	NM_003812__chr2__1
ADAM28__chr8	NM_021777__chr8__1|NR_130709__chr8__1|NM_001304351__chr8__1|NM_014265__chr8__1|NR_130710__chr8__1
ADAM29__chr4	NM_001130703__chr4__1|NM_001130704__chr4__1|NM_001130705__chr4__1|NM_001278125__chr4__1|NM_001278126__chr4__1|NM_001278127__chr4__1|NM_014269__chr4__1
ADAM2__chr8	NM_001278113__chr8__1|NM_001278114__chr8__1|NM_001464__chr8__1
ADAM2__chr8_KI270822v1_alt	NM_001278113__chr8_KI270822v1_alt__1|NM_001278114__chr8_KI270822v1_alt__1|NM_001464__chr8_KI270822v1_alt__1
ADAM30__chr1	NM_021794__chr1__1
ADAM32__chr8	NM_001313994__chr8__1|NM_145004__chr8__1
ADAM32__chr8_KI270822v1_alt	NM_001313994__chr8_KI270822v1_alt__1|NM_145004__chr8_KI270822v1_alt__1
ADAM33__chr20	NM_001282447__chr20__1|NM_025220__chr20__1|NM_153202__chr20__1
ADAM3A__chr8	NR_001569__chr8__1|NR_024106__chr8__1|NR_024107__chr8__1|NR_073423__chr8__1
ADAM5__chr8	NR_001448__chr8__1
