Transcript	Length
Xiap__chrX	6558
Rrm2__chr12	2190
Cd101__chr3	3279
9130024F11Rik__chr1	3729
Ero1lb__chr13	4255
Slc16a12__chr19	3877
Ly6f__chr15	881
Gria1__chr11	5996
Pgrmc1__chrX	1841
Gm4027__chr12	1000
Trim30a__chr7	3778
Batf__chr12	907
Mir25__chr5	85
Gm6525__chr3	557
Prickle1__chr15	4093
Vav1__chr17	4195
Vmn1r60__chr7	904
Fibin__chr2	2070
Dph1__chr11	2116
Vegfc__chr8	1888
Mtor__chr4	8653
Rnf220__chr4	2906
2210015D19Rik__chr11	1847
Filip1l__chr16	4050
Pik3r2__chr8	3175
Arl6ip4__chr5	1187
Rac1__chr5	2275
Dhx34__chr7	3818
Vamp4__chr1	2540
Hsd3b2__chr3	1806
Gm17359__chr3	782
ERCC-00079	644
Endod1__chr9	4472
2810417H13Rik__chr9	2391
Nrip3__chr7	3920
Trim38__chr13	1486
Swsap1__chr9	1848
Ndrg4__chr8	2981
Pnliprp2__chr19	1580
Gm16973__chr14	2174
Ppp1r11__chr17	1682
2310030G06Rik__chr9	1246
Stk16__chr1	2893
Mad2l1__chr6	1730
Ms4a13__chr19	1383
Hs1bp3__chr12	2965
Txndc15__chr13	1533
9330111N05Rik__chr13	1409
Akr1a1__chr4	1423
Clstn2__chr9	4369
1700088E04Rik__chr15	1260
Gm5726__chr7	1850
Spata16__chr3	2114
Olfr1506__chr2	2172
Ppp2r4__chr2	2587
Hp1bp3__chr4	3489
Pkn1__chr8	3561
Hdac2__chr10	2018
Mir3098__chr2	57
Olfr918__chr9	979
Prr22__chr17	1353
Nov__chr15	2370
D830015G02Rik__chr14	833
8430408G22Rik__chr6	1319
Zmynd15__chr11	2815
Mir3096b__chr5	92
Alas1__chr9	2713
Prrt2__chr7	2494
Rpl34__chr3	602
Lhx3__chr2	2214
Slc38a6__chr12	2975
Med31__chr11	1165
2810408M09Rik__chr2	1870
Tpr__chr1	7602
Olfr358__chr2	994
4921530D09Rik__chr2	1739
Gm6460__chr5	826
Tcerg1l__chr7	2581
Rnf219__chr14	3462
Zfp457__chr13	2120
Gm5796__chr14	1821
Incenp__chr19	3235
Commd9__chr2	1181
Pnmal2__chr7	4148
Ppfia3__chr7	4896
Alkbh2__chr5	1069
Pank2__chr2	4273
Capn11__chr17	2597
Galnt5__chr2	3257
Krt2__chr15	2622
Khdc1c__chr1	847
Dennd4a__chr9	8690
Nol4__chr18	5429
Acot2__chr12	2201
Zfp809__chr9	2113
Itga1__chr13	6011
1700030C10Rik__chr12	1726
Eml3__chr19	3202
Dnajc27__chr12	4720
1700047E10Rik__chr14	571
Snora3__chr7	121
Olfr132__chr17	943
Olfr78__chr7	3500
Foxo4__chrX	3165
Faim__chr9	1080
BC033916__chr17	810
Adam12__chr7	7698
Cntnap1__chr11	5384
Chek2__chr5	2262
Mirlet7a-1__chr13	95
Kdelc2__chr9	3652
Hyls1__chr9	1647
5430427M07Rik__chr12	1026
Hoxb1__chr11	2079
Olfr632__chr7	955
Fam83g__chr11	4791
B230209E15Rik__chr7	2063
Cacnb1__chr11	2471
Lipg__chr18	3797
Dsg1a__chr18	5642
Vps9d1__chr8	2794
Tox__chr4	2861
9530082P21Rik__chr17	3165
Gm8579__chr6	736
Nek1__chr8	4297
Lmbr1__chr5	4949
Rab2b__chr14	2764
Pcmt1__chr10	1925
Gm9895__chr19	666
Spon2__chr5	2243
Hhla1__chr15	2279
Atf4__chr15	1728
2310043L19Rik__chr1	701
4930547C10Rik__chr4	2403
Npsr1__chr9	3801
Spats1__chr17	1168
Esam__chr9	1861
Pum2__chr12	6711
Serpini1__chr3	3142
Chrdl1__chrX	6783
Clca3__chr3	2949
Lrrc19__chr4	2778
Gm17066__chr14	3694
Eml6__chr11	8122
Gnpnat1__chr14	2542
Pnn__chr12	3478
Rnf8__chr17	2039
Cwc27__chr13	1898
Slc35f5__chr1	2613
Dppa2__chr16	1948
Rem1__chr2	1608
Tsx__chrX	822
Nipal4__chr11	3301
2010107G23Rik__chr10	1735
Ankrd37__chr8	909
Optc__chr1	2081
Gm3415__chr5	2364
Tns1__chr1	10001
Ccdc77__chr6	2948
Spink12__chr18	895
1110018G07Rik__chr12	5453
Msi1__chr5	1566
Ginm1__chr10	1565
Qrich2__chr11	2176
Hrk__chr5	5368
Smtnl2__chr11	2632
Grpel2__chr18	4050
Has2__chr15	4248
Nfkb2__chr19	3315
Mrps9__chr1	1430
Cox5a__chr9	697
Cables2__chr2	2955
Mrps22__chr9	1224
Fhl4__chr10	2672
Aff3__chr1	6033
Olfr1461__chr19	940
Lrpap1__chr5	2915
Fgfr1op__chr17	3167
Ssna1__chr2	867
Rragc__chr4	2613
Aspscr1__chr11	1888
Sh3glb1__chr3	3958
Il17re__chr6	3008
Gm14499__chrX	1723
Mir5132__chrX	72
Zfp955a__chr17	3759
Olfr148__chr9	934
Ccin__chr4	2031
Gm5105__chr3	1669
Slmap__chr14	4524
Gata3__chr2	3221
Lpcat3__chr6	2515
Gyk__chrX	4447
Ubxn2a__chr12	2518
Ccnb2__chr9	1550
Ccdc102a__chr8	2313
Gm10578__chr7	2880
Ankrd34b__chr13	3945
Sh2d4b__chr14	1304
Pilrb2__chr5	1811
Lypd6__chr2	3666
AA536875__chr14	2287
Tor2a__chr2	1541
Rxfp1__chr3	2295
Nsun2__chr13	4298
Fpr-rs4__chr17	973
Selenbp1__chr3	1697
B3galt6__chr4	3214
Tmed9__chr13	1456
Snord55__chr4	79
Dpysl3__chr18	2343
Olfr663__chr7	1036
Olfr1274-ps__chr2	1036
BC049730__chr7	1179
2210408F21Rik__chr6	1049
Slc26a11__chr11	2709
Mfsd1__chr3	2994
Ccdc105__chr10	1725
Mdm2__chr10	3039
Gm14005__chr2	4495
Ppp2cb__chr8	1843
Bach2__chr4	8498
B3galt4__chr17	1578
Fam57a__chr11	935
Wfdc8__chr2	3589
Olfr1176__chr2	949
Mir329__chr12	98
Clta__chr4	1177
Gm13476__chr2	1389
Grwd1__chr7	1909
Gm6121__chrX	901
Gemin6__chr17	1089
Gcsam__chr16	3370
Ppm1f__chr16	4941
Gm7849__chr8	930
Ctnnbip1__chr4	2793
Slc7a11__chr3	9239
1810062O18Rik__chr14	757
Akap8__chr17	3709
Adamts3__chr5	7686
Epb4.9__chr14	4936
Phrf1__chr7	5392
Ndufa5__chr6	554
Elavl2__chr4	4566
Snord16a__chr9	92
Otx2os1__chr14	748
Olfr130__chr17	955
Ece2__chr16	4135
Gsc2__chr16	728
2300009A05Rik__chr9	600
Fam162b__chr10	559
Msx3__chr7	2289
Gng13__chr17	417
Olfr151__chr9	1086
4933440M02Rik__chr7	1749
Dok6__chr18	1004
Npas2__chr1	4201
Frmd4b__chr6	5053
Fam43a__chr16	3076
Pex10__chr4	1653
Hsp90aa1__chr12	2861
Vmn1r163__chr7	1850
4833420G17Rik__chr13	2714
Rdh8__chr9	1456
Vezf1__chr11	4589
Prl3c1__chr13	936
Olfr821__chr10	934
Ocln__chr13	3201
Commd5__chr15	1000
Megf6__chr4	6913
Gm21319__chr12	1865
Ppard__chr17	3226
2310040G24Rik__chr6	777
D930028M14Rik__chr7	1078
Gm10007__chr19	453
1700017N19Rik__chr10	1703
Large__chr8	3684
Idua__chr5	3388
4930470H14Rik__chr17	1738
2810055G20Rik__chr16	3156
Edil3__chr13	5369
Gm10662__chr7	3456
Fam104a__chr11	2618
Gm13944__chr2	754
Vmn1r25__chr6	910
D2Wsu81e__chr2	1850
Ndrg3__chr2	2700
Cnppd1__chr1	2747
Klk12__chr7	935
Tmem57__chr4	3836
Mir3075__chr14	86
Bad__chr19	1456
Ranbp2__chr10	9505
Acad11__chr9	3368
Wfs1__chr5	3572
Mina__chr16	2159
Dpf3__chr12	3784
Rps18__chr17	529
Trim62__chr4	3203
Epb4.1l4a__chr18	3877
Kbtbd8__chr6	4704
Cdkn1a__chr17	2030
Gm13286__chr4	550
Ogfod1__chr8	5324
Lsm7__chr10	472
4930558G05Rik__chrX	589
Pcdhb10__chr18	2842
Mier1__chr4	4894
Zfp619__chr7	5968
Mfsd5__chr15	1744
Dmbt1__chr7	6290
Gm9961__chr16	543
Trappc6a__chr7	774
Dgki__chr6	4632
Dars2__chr1	3598
Spock3__chr8	3293
Bglap__chr3	628
Spty2d1__chr7	5232
Ugt2b1__chr5	2551
Sftpa1__chr14	2781
Slc27a1__chr8	2809
Myo15__chr11	11833
Gm12530__chr4	1764
Eif4enif1__chr11	4251
Mef2c__chr13	6577
BC053749__chr7	2478
Ptplb__chr16	3610
Gng2__chr14	3830
Strn__chr17	3960
Olfr885__chr9	931
Hfe__chr13	1728
Harbi1__chr2	2304
Gm14057__chr2	2137
Nefl__chr14	2005
B930059L03Rik__chr12	1307
Zgpat__chr2	2518
Abca6__chr11	5758
Nudt16__chr9	1609
Zfp422__chr6	3167
Nod2__chr8	4634
Unc5a__chr13	3990
Zfp687__chr3	4641
Ndfip2__chr14	2440
Isl2__chr9	1857
Olfr1434__chr19	940
6720489N17Rik__chr13	2641
Ccr3__chr9	3275
1700025K24Rik__chr17	743
Rbm26__chr14	4126
Dusp3__chr11	4206
Olfr299__chr7	994
Mirlet7e__chr17	94
4930565N06Rik__chr16	2419
Vmn1r83__chr7	922
Sirt4__chr5	1804
Bhlhe40__chr6	3118
Hddc2__chr10	724
C030029H02Rik__chr7	2283
Olfr945__chr9	961
Plekho2__chr9	5133
Plat__chr8	2546
Cml5__chr6	989
Gm5801__chr4	1188
Olfr1281__chr2	919
C030039L03Rik__chr7	4744
Btbd11__chr10	5973
Slc35f3__chr8	2790
Exoc3__chr13	4609
Pnpo__chr11	2043
Ciita__chr16	5714
4930519F09Rik__chr10	1546
Mir695__chr2	110
Alpk3__chr7	6383
Stab2__chr10	8202
Ly6g5c__chr17	453
Myh10__chr11	7824
Cdkl2__chr5	4591
Gm12942__chr4	1123
Mir2861__chr2	83
Olfr1301__chr2	940
Fam78b__chr1	4989
Mast2__chr4	5757
BB557941__chr2	1102
Rem2__chr14	1892
Itpkb__chr1	5109
Mir196a-2__chr15	86
Pah__chr10	2156
Tnnt2__chr1	1268
Slfn1__chr11	1859
Cdca2__chr14	3948
Nampt__chr12	4558
Ldhc__chr7	1318
Il12a__chr3	1378
Olfr2__chr7	1252
Lrrc56__chr7	2642
Rfx8__chr1	2015
Gm2694__chr8	686
Dvl1__chr4	3363
Zmynd11__chr13	4129
Setdb2__chr14	3049
Gng12__chr6	4369
Itpr2__chr6	11880
Abcg3__chr5	3050
Pvrl1__chr9	5067
Polr3k__chr2	2924
Tmem50a__chr4	1103
Map4k4__chr1	6007
Fkbp8__chr8	1904
Srgap3__chr6	8908
Hspa1l__chr17	2417
Fam63b__chr9	8090
Dhtkd1__chr2	3552
Tmem260__chr14	5234
Hs6st3__chr14	1786
Gsk3b__chr16	8309
Gm5891__chr7	3460
Gm17495__chr17	904
Agtr1b__chr3	2149
Nfatc2__chr2	8361
Fubp1__chr3	6511
Znrf3__chr11	6315
Sgip1__chr4	3736
Ppp1r13l__chr7	3143
Tmem200c__chr17	3215
Meox2__chr12	2351
Olfr675__chr7	943
Acap3__chr4	4336
Smyd2__chr1	1617
Usp34__chr11	12280
Vmn2r104__chr17	2589
Chn2__chr6	3417
Nlrp1b__chr11	6160
Arf1__chr11	2092
Mir1892__chr12	81
Gsdmc__chr15	2394
Scarf1__chr11	2895
Olfr455__chr6	955
Gm11974__chr11	596
Cab39l__chr14	3048
Tmco3__chr8	4546
Pfkfb1__chrX	1735
B020004J07Rik__chr4	1979
Rbpms__chr8	2786
4921530L18Rik__chr2	802
Myh6__chr14	6118
Zfp78__chr7	4996
Mycbp__chr4	1490
Gm6329__chr8	865
Myo1f__chr17	3861
Gm14327__chr2	1103
Ap3b1__chr13	4047
C030013G03Rik__chr17	1025
Sult1c1__chr17	1521
Dek__chr13	2613
4931431C16Rik__chr5	2739
Siah3__chr14	907
Pira11__chr7	2111
Zbtb9__chr17	2786
Timeless__chr10	4545
Gm12169__chr11	1033
Edn2__chr4	1249
Rxra__chr2	5277
Pola1__chrX	5384
Letm2__chr8	2111
Bag1__chr4	1356
Gemin4__chr11	3450
Zfp354a__chr11	4034
Olfr177__chr16	931
BC037034__chr5	2557
Paqr7__chr4	2069
Olfr983__chr9	1052
Gmfg__chr7	1119
Flnc__chr6	9214
Dbndd2__chr2	4075
Efcab14__chr4	4312
Mad2l1bp__chr17	1275
Mtfr1__chr3	3109
Prl5a1__chr13	1050
Thsd4__chr9	9049
Prss30__chr17	1475
1700055N04Rik__chr19	2009
Ptrhd1__chr12	4015
4930511E03Rik__chr6	2240
Gm11981__chr11	669
Gfap__chr11	4082
Mir155__chr16	66
Ppp1r21__chr17	3157
Pbx4__chr8	1355
Mir505__chrX	91
2410089E03Rik__chr15	10522
Abi1__chr2	3515
Phka2__chrX	5287
Mesdc1__chr7	3848
Neto1__chr18	3542
BC061237__chr14	904
Samt3__chrX	1051
Tmem147__chr7	875
Wisp2__chr2	1780
Tmem211__chr5	1832
Ankrd40__chr11	3769
4930474N09Rik__chr12	1178
Ceacam-ps1__chr7	718
Serpinb6d__chr13	1474
Hoxd12__chr2	2536
Gm5382__chrX	511
Ankrd52__chr10	6643
Olfr1079__chr2	949
Rpsa__chr9	1868
Snora7a__chr6	130
Kcnq1__chr7	3045
Gm5088__chr14	3225
Cttn__chr7	3241
1700003P14Rik__chr13	998
Micalcl__chr7	2407
Ccar1__chr10	4503
Dytn__chr1	2442
Armcx1__chrX	2471
Tjp3__chr10	3052
Gm16367__chr5	4082
1700071M16Rik__chr17	2507
Zkscan1__chr5	8267
Tmem120b__chr5	1872
Ehd2__chr7	3064
Kidins220__chr12	7434
Arg2__chr12	1425
Pyurf__chr6	5412
Scarna13__chr12	276
Hlf__chr11	5669
Cdkn2c__chr4	1108
Smarcc1__chr9	5701
Nek7__chr1	3376
Sptssa__chr12	1365
Lima1__chr15	4440
Stra13__chr11	641
Olfr1346__chr7	943
Lamp5__chr2	1961
Snora28__chr12	122
Gm13032__chr4	2004
Efcab7__chr4	1831
Zmym6__chr4	4149
Lrrc41__chr4	2879
7420461P10Rik__chr1	745
Tstd3__chr4	1591
Pnpla2__chr7	2727
Adcy6__chr15	6047
A930024E05Rik__chr5	1895
Olfr733__chr14	995
Nxf1__chr19	4069
Gm5168__chrX	833
Coro6__chr11	1547
Ube2v2__chr16	5896
Gm11202__chr11	2190
Klhl30__chr1	3028
Gxylt1__chr15	6542
R3hdm1__chr1	4839
Spam1__chr6	2136
Fam124a__chr14	3561
Anxa11__chr14	2410
Ccdc116__chr16	3938
Cdca3__chr6	1494
Cyp4a31__chr4	2521
Mcpt8__chr14	843
Cenph__chr13	1248
Tuba3b__chr6	1572
Gm5177__chr10	3788
Sos1__chr17	8941
Ramp2__chr11	876
Cttnbp2__chr6	5954
Adam18__chr8	2381
Syt10__chr15	1852
Rasgrp2__chr19	2210
Nubp1__chr16	2139
Gde1__chr7	1535
ERCC-00043	1023
Naalad2__chr9	2709
Ip6k3__chr17	2311
Cdx1__chr18	1753
Acvr2a__chr2	5692
4930539J05Rik__chr3	502
Naprt1__chr15	1903
Parm1__chr5	2089
Gm5475__chr15	2323
Olfr100__chr17	928
D4Wsu53e__chr4	1420
Hgd__chr16	1722
Cmya5__chr13	11861
Olfr367-ps__chr2	1105
6330407A03Rik__chr4	1844
Olfr159__chr4	961
Rnase13__chr14	615
Ctr9__chr7	4325
Zfp668__chr7	3454
Dync1i2__chr2	2807
Olfr1469__chr19	931
Kcna10__chr3	1828
Avp__chr2	510
Zfp652__chr11	2670
Mphosph10__chr7	2213
Ndufaf3__chr9	1072
Tmem8__chr17	3476
Smim11__chr16	504
Gm15299__chr8	284
Olfr1297__chr2	940
Hpca__chr4	1702
Cdkn2d__chr9	1272
Nckap5l__chr15	4867
Rilpl1__chr5	2256
Lsp1__chr7	2619
Cd209f__chr8	1117
4933406K04Rik__chr12	1361
Mir1970__chr7	67
Atp6ap1l__chr13	1183
Myb__chr10	3793
Ftsjd1__chr8	3579
Selk__chr14	1023
Allc__chr12	1471
Olfr837__chr9	1041
Olfr1233__chr2	919
Foxb1__chr9	2986
Fbxo28__chr1	4918
Ugt1a6b__chr1	2299
Fads6__chr11	1245
Uspl1__chr5	3944
Rfx5__chr3	4198
Krt12__chr11	1862
Mageb1__chrX	2288
Tctex1d2__chr16	636
Svip__chr7	3240
Gm14374__chrX	1961
Vmn2r15__chr5	2574
Scarna2__chr3	62
Bicc1__chr10	3122
Fgf2__chr3	698
4930578N18Rik__chr16	514
E230025N22Rik__chr18	2029
Syde2__chr3	5502
Smarca5-ps__chr4	3753
Gm20300__chr10	3441
Zyg11a__chr4	2303
Lmbr1l__chr15	2184
Retnlb__chr16	700
Rbm31y__chrY	3918
Neat1__chr19	3178
Plekhh1__chr12	6468
Lig4__chr8	4083
Itpripl1__chr2	3759
Vmn2r60__chr7	2568
Tas2r104__chr6	910
Arhgef4__chr1	2724
G630055G22Rik__chr18	1336
Gm10714__chr2	878
6820431F20Rik__chr8	4664
2510009E07Rik__chr16	5166
Olfr1317__chr2	952
Mospd3__chr5	1621
Cercam__chr2	2727
Ceacam10__chr7	1053
Epor__chr9	1837
Tigit__chr16	967
Lrit1__chr14	4321
Vmn2r74__chr7	2568
Shisa7__chr7	6013
Rhou__chr8	3370
Clca5__chr3	3935
Cers4__chr8	3679
2810008D09Rik__chr11	602
Vmn1r238__chr18	922
Tiam2__chr17	6309
Igf2bp2__chr16	3915
Lin37__chr7	1007
Mir320__chr14	83
Pax6__chr2	3697
Hal__chr10	2778
Tmem246__chr4	2985
Ube2t__chr1	1086
Mreg__chr1	2498
Map4k2__chr19	2498
Hs6st1__chr1	3721
Ctgf__chr10	2407
5730409E04Rik__chr4	2857
Zc3h14__chr12	4202
Prcp__chr7	2973
Gnao1__chr8	7743
ERCC-00171	505
Fam50b__chr13	1317
Efnb1__chrX	3263
D630045J12Rik__chr6	10990
1700019E08Rik__chr2	639
Elof1__chr9	1055
Med10__chr13	866
Cfp__chrX	1533
Rrp12__chr19	4354
Arrdc1__chr2	1779
Enpp2__chr15	3424
Tas2r121__chr6	919
4930509J09Rik__chr3	1534
Syde1__chr10	3296
Smurf1__chr5	5351
Mir1893__chr18	84
Gm5592__chr7	3036
Gsx1__chr5	1774
Dnaic1__chr4	2511
Mir1961__chr5	113
Mipol1__chr12	1464
Mir467a-10__chr12	22
Acbd3__chr1	3479
Dnttip1__chr2	1257
Fam24a__chr7	374
AV320801__chrX	7406
Lgr4__chr2	5078
1190007I07Rik__chr10	751
